Rxn name	Formula	Gene-reaction association	LB	UB	Objective
PANTS	ala_B_c[c] + atp_c[c] + pant__R_c[c]  -> amp_c[c] + h_c[c] + pnto__R_c[c] + ppi_c[c] 	RTMO04194	  0.00	1000.00	  0.00
DURIPP	duri_c[c] + h_c[c] + pi_c[c]  -> 2dr1p_c[c] + ura_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
ACENLAT	adhlam_c[c] + coa_c[c]  -> accoa_c[c] + edhyl_c[c] 	RTMO01601 or RTMO00137 or RTMO00828 or RTMO03629	  0.00	1000.00	  0.00
ENCOAT	coa_c[c] + empdhll_c[c] + h_c[c]  -> edhyl_c[c] + ibcoa_c[c] 	RTMO01147	  0.00	1000.00	  0.00
ADPDA	26dapime_c[c] + h2o_c[c]  -> 26dap_LL_c[c] + ac_c[c] 	RTMO00845	  0.00	1000.00	  0.00
DAPE	26dap_LL_c[c]  -> 26dap__M_c[c] 	RTMO03106	  0.00	1000.00	  0.00
DRBK	atp_c[c] + drib_c[c]  -> 2dr5p_c[c] + adp_c[c] 	RTMO02207	  0.00	1000.00	  0.00
ASAPT	ametam_c[c] + spmd_c[c]  -> 5mta_c[c] + h_c[c] + sprm_c[c] 	RTMO02500 or RTMO00998	  0.00	1000.00	  0.00
NNATr	atp_c[c] + nicrnt_c[c]  -> dnad_c[c] + ppi_c[c] 	RTMO04916	  0.00	1000.00	  0.00
HISTP	h2o_c[c] + hisp_c[c]  -> h_c[c] + histd_c[c] + pi_c[c] 	RTMO02254 or RTMO00765	  0.00	1000.00	  0.00
PNTK	atp_c[c] + pnto__R_c[c]  -> 4ppan_c[c] + adp_c[c] 	RTMO02965	  0.00	1000.00	  0.00
PTPATi	atp_c[c] + pan4p_c[c]  -> dpcoa_c[c] + ppi_c[c] 	RTMO03749	  0.00	1000.00	  0.00
HMHPTMT	4abz_c[c] + 6hmhpt_c[c]  -> dhpt_c[c] + h2o_c[c] 	RTMO02971	  0.00	1000.00	  0.00
